"","Time","sample","value","strain","replicate","media","background"
"5331",1125,"B3",0.58339513,"overproducer ∆metJ","3","Met (-)","mutant"
"5332",1125,"B4",0.56339513,"wild-type (unsupplemented)","1","Met (-)","wt"
"5333",1125,"B5",0.63739513,"wild-type (unsupplemented)","2","Met (-)","wt"
"5334",1125,"B6",0.62039513,"wild-type (unsupplemented)","3","Met (-)","wt"
"5335",1125,"B7",1.03439513,"auxotroph ∆metB","1","Met (+)","mutant"
"5336",1125,"B8",0.81039513,"auxotroph ∆metB","2","Met (+)","mutant"
"5337",1125,"B9",1.01639513,"auxotroph ∆metB","3","Met (+)","mutant"
"5338",1125,"B10",0.69239513,"wild-type (supplemented)","1","Met (+)","wt"
"5339",1125,"B11",0.59939513,"wild-type (supplemented)","2","Met (+)","wt"
"5340",1125,"B12",0.73239513,"wild-type (supplemented)","3","Met (+)","wt"
"5341",1125,"C1",0.32639513,"overproducer ∆metJ","1","Met (-)","mutant"
"5342",1125,"C2",0.62239513,"overproducer ∆metJ","2","Met (-)","mutant"
"5343",1125,"C3",0.62139513,"overproducer ∆metJ","3","Met (-)","mutant"
"5344",1125,"C4",0.63139513,"wild-type (unsupplemented)","1","Met (-)","wt"
"5345",1125,"C5",0.54539513,"wild-type (unsupplemented)","2","Met (-)","wt"
"5346",1125,"C6",0.72539513,"wild-type (unsupplemented)","3","Met (-)","wt"
"5347",1125,"C7",0.97839513,"auxotroph ∆metB","1","Met (+)","mutant"
"5348",1125,"C8",0.82139513,"auxotroph ∆metB","2","Met (+)","mutant"
"5349",1125,"C9",1.00139513,"auxotroph ∆metB","3","Met (+)","mutant"
"5350",1125,"C10",0.72239513,"wild-type (supplemented)","1","Met (+)","wt"
"5351",1125,"C11",0.59839513,"wild-type (supplemented)","2","Met (+)","wt"
"5352",1125,"C12",0.64539513,"wild-type (supplemented)","3","Met (+)","wt"
"5353",1125,"D1",0.44039513,"overproducer ∆metJ","1","Met (-)","mutant"
"5354",1125,"D2",0.62739513,"overproducer ∆metJ","2","Met (-)","mutant"
"5355",1125,"D3",0.62839513,"overproducer ∆metJ","3","Met (-)","mutant"
"5356",1125,"D4",0.55039513,"wild-type (unsupplemented)","1","Met (-)","wt"
"5357",1125,"D5",0.50339513,"wild-type (unsupplemented)","2","Met (-)","wt"
"5358",1125,"D6",0.56539513,"wild-type (unsupplemented)","3","Met (-)","wt"
"5359",1125,"D7",1.01039513,"auxotroph ∆metB","1","Met (+)","mutant"
"5360",1125,"D8",0.56839513,"auxotroph ∆metB","2","Met (+)","mutant"
"5361",1125,"D9",0.98539513,"auxotroph ∆metB","3","Met (+)","mutant"
"5362",1125,"D10",0.67139513,"wild-type (supplemented)","1","Met (+)","wt"
"5363",1125,"D11",0.54939513,"wild-type (supplemented)","2","Met (+)","wt"
"5364",1125,"D12",0.62839513,"wild-type (supplemented)","3","Met (+)","wt"
"5365",1125,"E1",0.31639513,"overproducer ∆metJ","1","Met (-)","mutant"
"5366",1125,"E2",0.53239513,"overproducer ∆metJ","2","Met (-)","mutant"
"5367",1125,"E3",0.57639513,"overproducer ∆metJ","3","Met (-)","mutant"
"5368",1125,"E4",0.56639513,"wild-type (unsupplemented)","1","Met (-)","wt"
"5369",1125,"E5",0.45739513,"wild-type (unsupplemented)","2","Met (-)","wt"
"5370",1125,"E6",0.50939513,"wild-type (unsupplemented)","3","Met (-)","wt"
"5371",1125,"E7",0.95539513,"auxotroph ∆metB","1","Met (+)","mutant"
"5372",1125,"E8",0.68139513,"auxotroph ∆metB","2","Met (+)","mutant"
"5373",1125,"E9",0.96439513,"auxotroph ∆metB","3","Met (+)","mutant"
"5374",1125,"E10",0.63539513,"wild-type (supplemented)","1","Met (+)","wt"
"5375",1125,"E11",0.63139513,"wild-type (supplemented)","2","Met (+)","wt"
"5376",1125,"E12",0.55739513,"wild-type (supplemented)","3","Met (+)","wt"
"5377",1125,"F1",0.31839513,"overproducer ∆metJ","1","Met (-)","mutant"
"5378",1125,"F2",0.56839513,"overproducer ∆metJ","2","Met (-)","mutant"
"5379",1125,"F3",0.56839513,"overproducer ∆metJ","3","Met (-)","mutant"
"5380",1125,"F4",0.51139513,"wild-type (unsupplemented)","1","Met (-)","wt"
"5381",1125,"F5",0.37739513,"wild-type (unsupplemented)","2","Met (-)","wt"
"5382",1125,"F6",0.51939513,"wild-type (unsupplemented)","3","Met (-)","wt"
"5383",1125,"F7",0.99839513,"auxotroph ∆metB","1","Met (+)","mutant"
"5384",1125,"F8",0.53039513,"auxotroph ∆metB","2","Met (+)","mutant"
"5385",1125,"F9",0.97339513,"auxotroph ∆metB","3","Met (+)","mutant"
"5386",1125,"F10",0.56539513,"wild-type (supplemented)","1","Met (+)","wt"
"5387",1125,"F11",0.64839513,"wild-type (supplemented)","2","Met (+)","wt"
"5388",1125,"F12",0.47739513,"wild-type (supplemented)","3","Met (+)","wt"
"5389",1125,"G1",0.35439513,"overproducer ∆metJ","1","Met (-)","mutant"
"5390",1125,"G2",0.53639513,"overproducer ∆metJ","2","Met (-)","mutant"
"5391",1125,"G3",0.65939513,"overproducer ∆metJ","3","Met (-)","mutant"
"5392",1125,"G4",0.48339513,"wild-type (unsupplemented)","1","Met (-)","wt"
"5393",1125,"G5",0.42839513,"wild-type (unsupplemented)","2","Met (-)","wt"
"5394",1125,"G6",0.47039513,"wild-type (unsupplemented)","3","Met (-)","wt"
"5395",1125,"G7",0.97239513,"auxotroph ∆metB","1","Met (+)","mutant"
"5396",1125,"G8",0.53639513,"auxotroph ∆metB","2","Met (+)","mutant"
"5397",1125,"G9",0.95939513,"auxotroph ∆metB","3","Met (+)","mutant"
"5398",1125,"G10",0.52739513,"wild-type (supplemented)","1","Met (+)","wt"
